Season,TeamName,AdjO,AdjD,AdjEM
2003,Kentucky,116.5,87.4,29.18
2003,Kansas,115.0,86.4,28.62
2003,Pittsburgh,114.8,86.2,28.61
2003,Arizona,115.6,88.8,26.8
2003,Illinois,113.2,88.7,24.47
2003,Duke,115.0,91.3,23.75
2003,Texas,119.3,95.8,23.49
2003,Syracuse,114.4,91.1,23.28
2003,Oklahoma,112.1,89.1,23.01
2003,Louisville,115.8,93.0,22.75
2003,Florida,116.5,94.4,22.14
2003,Wisconsin,114.4,92.4,22.07
2003,Maryland,110.9,88.9,22.0
2003,Mississippi St,107.4,85.8,21.53
2003,Marquette,120.5,99.2,21.3
2003,Georgia,120.9,99.9,20.93
2003,St Joseph's PA,109.0,88.3,20.75
2003,Notre Dame,116.5,96.2,20.31
2003,Michigan St,110.1,89.9,20.26
2003,Xavier,113.8,94.0,19.88
2003,Wake Forest,114.5,94.6,19.87
2003,Connecticut,111.6,92.0,19.54
2003,LSU,111.0,92.8,18.15
2003,BYU,109.4,91.7,17.68
2003,Oklahoma St,105.9,88.2,17.67
2003,Creighton,112.4,94.9,17.54
2003,Purdue,107.0,89.6,17.42
2003,Missouri,111.5,94.2,17.32
2003,Memphis,110.9,94.1,16.72
2003,Arizona St,113.9,97.4,16.49
2003,Butler,115.4,99.3,16.09
2003,Texas Tech,109.3,93.4,15.89
2003,Gonzaga,113.2,97.7,15.58
2003,Colorado,109.1,93.8,15.27
2003,Georgetown,107.1,92.2,14.91
2003,Cincinnati,105.0,90.3,14.69
2003,UNC Wilmington,109.5,94.9,14.62
2003,Alabama,110.3,95.7,14.6
2003,Stanford,109.8,95.2,14.57
2003,Dayton,116.4,101.9,14.53
2003,Indiana,113.4,98.9,14.48
2003,Oregon,111.4,97.1,14.25
2003,Georgia Tech,109.1,94.8,14.23
2003,Utah,106.6,92.6,14.04
2003,Providence,108.0,94.1,13.85
2003,Auburn,107.7,94.1,13.63
2003,California,109.9,96.3,13.59
2003,Penn,110.3,96.9,13.35
2003,Boston College,117.7,104.4,13.3
2003,NC State,111.2,98.1,13.18
2003,Tulsa,107.9,94.9,13.04
2003,WI Milwaukee,109.0,96.0,12.97
2003,Seton Hall,104.6,92.3,12.26
2003,North Carolina,107.9,95.8,12.15
2003,S Illinois,110.3,98.6,11.76
2003,WKU,108.0,96.3,11.75
2003,Villanova,106.6,95.4,11.17
2003,Tennessee,108.0,97.0,10.99
2003,Mississippi,111.2,100.3,10.89
2003,Kansas St,107.9,97.0,10.87
2003,Michigan,109.0,98.3,10.71
2003,IL Chicago,110.5,99.9,10.64
2003,Detroit,109.6,99.0,10.6
2003,Iowa St,106.3,95.7,10.59
2003,ULL,107.9,97.4,10.52
2003,Holy Cross,105.5,95.1,10.4
2003,St John's,105.4,95.3,10.06
2003,Manhattan,105.5,95.4,10.04
2003,DePaul,105.1,95.1,10.04
2003,C Michigan,109.5,99.4,10.01
2003,UNLV,108.1,98.2,9.84
2003,Minnesota,107.4,97.7,9.68
2003,UAB,105.2,95.8,9.45
2003,Temple,108.0,98.6,9.34
2003,Ohio St,103.2,94.3,8.93
2003,Weber St,111.4,102.5,8.88
2003,Florida St,100.9,92.0,8.84
2003,Iowa,106.4,97.9,8.5
2003,St Louis,104.1,95.8,8.34
2003,San Diego,104.7,96.4,8.32
2003,South Carolina,103.1,94.8,8.31
2003,Virginia,108.8,100.6,8.2
2003,Nevada,108.0,99.9,8.19
2003,St Bonaventure,112.8,104.8,8.07
2003,Missouri St,100.6,92.5,8.04
2003,W Michigan,101.7,94.0,7.66
2003,New Mexico St,107.7,100.2,7.51
2003,Utah St,107.1,99.7,7.41
2003,Texas A&M,104.4,97.4,6.97
2003,Vanderbilt,103.7,96.9,6.78
2003,USC,105.2,98.4,6.74
2003,San Diego St,108.0,101.3,6.69
2003,Valparaiso,103.7,97.1,6.66
2003,Kent,111.2,104.7,6.51
2003,Santa Barbara,104.2,97.7,6.46
2003,Wyoming,108.5,102.2,6.34
2003,Richmond,101.4,95.2,6.28
2003,Fresno St,105.2,98.9,6.26
2003,Troy,106.9,100.8,6.15
2003,Miami FL,103.3,97.2,6.1
2003,Rutgers,100.9,94.9,6.01
2003,Baylor,106.6,100.7,5.97
2003,Charlotte,104.5,98.5,5.97
2003,Colorado St,110.6,104.6,5.96
2003,Clemson,107.3,101.6,5.75
2003,Murray St,107.3,101.8,5.53
2003,UCLA,107.2,101.7,5.46
2003,Tulane,106.8,101.4,5.36
2003,E Washington,102.9,97.6,5.29
2003,G Washington,107.2,102.1,5.18
2003,Drexel,101.7,96.7,5.02
2003,Rice,105.8,101.1,4.73
2003,West Virginia,104.7,99.9,4.71
2003,South Florida,101.3,96.8,4.49
2003,Hawaii,102.9,98.5,4.33
2003,Rhode Island,101.6,97.3,4.33
2003,George Mason,98.1,93.8,4.26
2003,San Francisco,109.1,104.9,4.19
2003,UC Irvine,103.6,99.5,4.1
2003,Col Charleston,102.5,98.4,4.08
2003,VA Commonwealth,103.4,99.3,4.06
2003,Siena,105.3,101.4,3.89
2003,Tennessee Tech,102.8,99.0,3.86
2003,Loyola-Chicago,105.7,101.9,3.85
2003,Boston Univ,102.4,98.7,3.64
2003,MTSU,103.8,100.5,3.36
2003,Chattanooga,110.6,107.3,3.34
2003,Oregon St,100.7,97.5,3.21
2003,UCF,102.9,99.7,3.18
2003,Washington,102.6,99.4,3.12
2003,Wichita St,107.7,104.6,3.05
2003,Toledo,103.6,100.6,3.03
2003,Princeton,109.2,106.2,2.99
2003,Arkansas,98.0,95.1,2.95
2003,Austin Peay,100.7,98.0,2.65
2003,Denver,102.4,99.8,2.53
2003,N Illinois,104.6,102.1,2.52
2003,Nebraska,97.4,94.9,2.47
2003,Miami OH,101.1,98.7,2.42
2003,SMU,103.6,101.2,2.36
2003,Virginia Tech,106.3,104.0,2.34
2003,St Mary's CA,98.5,96.3,2.18
2003,Davidson,103.2,101.0,2.18
2003,SF Austin,105.6,103.5,2.14
2003,Bradley,103.1,101.2,1.95
2003,American Univ,103.6,101.6,1.95
2003,ETSU,101.3,99.6,1.75
2003,Pepperdine,110.2,108.5,1.69
2003,Ark Little Rock,102.3,100.7,1.63
2003,Vermont,101.1,99.5,1.57
2003,Morehead St,109.6,108.1,1.53
2003,Air Force,105.2,104.0,1.27
2003,Oral Roberts,104.6,103.4,1.21
2003,Fairfield,99.2,98.2,0.94
2003,Yale,100.1,99.2,0.85
2003,South Alabama,105.4,104.6,0.85
2003,Sam Houston St,101.5,100.6,0.82
2003,Brown,105.6,104.8,0.76
2003,Iona,102.2,101.7,0.55
2003,Arkansas St,107.7,107.2,0.48
2003,IUPUI,102.9,102.5,0.46
2003,Old Dominion,99.2,98.9,0.3
2003,La Salle,102.4,102.1,0.27
2003,East Carolina,99.3,99.1,0.22
2003,Belmont,103.2,103.0,0.18
2003,Southern Miss,98.9,98.8,0.16
2003,Northwestern,105.0,104.9,0.05
2003,Ohio,104.5,104.7,-0.22
2003,Ball St,106.5,106.8,-0.35
2003,TCU,106.0,106.5,-0.41
2003,Delaware,99.5,99.9,-0.43
2003,New Orleans,101.7,102.2,-0.49
2003,Appalachian St,103.5,104.2,-0.69
2003,Marshall,102.2,102.9,-0.77
2003,Mercer,106.4,107.3,-0.84
2003,Pacific,99.9,100.8,-0.86
2003,Niagara,109.5,110.4,-0.9
2003,Akron,110.0,110.9,-0.92
2003,Wagner,104.7,105.9,-1.16
2003,E Illinois,106.8,108.1,-1.29
2003,Cal Poly SLO,98.4,99.7,-1.38
2003,Evansville,105.9,107.5,-1.55
2003,Boise St,96.0,97.5,-1.56
2003,Bowling Green,98.7,100.6,-1.88
2003,Oakland,103.7,105.7,-2.07
2003,Idaho St,99.6,101.8,-2.21
2003,New Mexico,107.7,110.0,-2.27
2003,Louisiana Tech,101.8,104.1,-2.35
2003,CS Northridge,100.6,103.1,-2.53
2003,Northern Arizona,99.5,102.1,-2.6
2003,Jacksonville St,103.5,106.2,-2.72
2003,UT Arlington,97.8,100.5,-2.73
2003,Montana,104.3,107.1,-2.75
2003,Northern Iowa,102.0,104.8,-2.78
2003,Massachusetts,96.5,99.8,-3.25
2003,Texas St,101.4,104.7,-3.28
2003,Maine,99.5,102.9,-3.32
2003,Binghamton,96.7,100.3,-3.57
2003,Hartford,98.2,101.9,-3.68
2003,Wofford,104.2,108.0,-3.75
2003,WI Green Bay,103.3,107.1,-3.76
2003,Canisius,99.3,103.0,-3.77
2003,E Michigan,104.0,107.8,-3.86
2003,Loy Marymount,98.4,102.5,-4.09
2003,Samford,101.0,105.1,-4.16
2003,Duquesne,99.4,103.5,-4.17
2003,Portland,98.7,103.0,-4.25
2003,Washington St,101.5,105.8,-4.29
2003,Penn St,98.6,103.2,-4.58
2003,Idaho,96.4,101.0,-4.61
2003,McNeese St,100.4,105.2,-4.78
2003,Houston,93.2,98.0,-4.84
2003,Marist,101.4,106.7,-5.31
2003,Northeastern,98.9,104.2,-5.33
2003,Illinois St,99.4,104.9,-5.44
2003,Wright St,102.1,107.7,-5.65
2003,James Madison,99.5,105.2,-5.66
2003,Harvard,98.3,104.0,-5.69
2003,Montana St,100.2,105.9,-5.7
2003,Bucknell,91.1,96.8,-5.75
2003,Rider,99.2,104.9,-5.79
2003,Winthrop,97.1,102.9,-5.81
2003,Lehigh,98.3,104.2,-5.94
2003,Georgia St,101.5,107.6,-6.14
2003,Drake,101.7,107.9,-6.22
2003,Santa Clara,96.9,103.2,-6.25
2003,Florida Intl,95.0,101.3,-6.29
2003,Birmingham So,100.5,107.1,-6.59
2003,Quinnipiac,99.1,105.8,-6.72
2003,TN Martin,100.5,107.3,-6.88
2003,Ga Southern,102.2,109.2,-6.97
2003,North Texas,99.3,106.6,-7.31
2003,Furman,97.9,105.2,-7.37
2003,CS Fullerton,101.4,108.9,-7.48
2003,Colgate,97.4,105.2,-7.72
2003,MS Valley St,104.2,112.0,-7.83
2003,St Peter's,100.3,108.3,-8.03
2003,Central Conn,101.1,109.2,-8.04
2003,St Francis NY,100.5,108.6,-8.1
2003,Cleveland St,97.7,105.8,-8.12
2003,Hampton,94.8,102.9,-8.14
2003,Monmouth NJ,91.9,100.1,-8.15
2003,Lamar,92.7,101.3,-8.57
2003,S Carolina St,96.4,105.0,-8.59
2003,Centenary,103.1,111.7,-8.6
2003,CS Sacramento,94.1,103.0,-8.89
2003,Lafayette,101.3,110.3,-8.98
2003,UNC Greensboro,97.7,106.8,-9.03
2003,Prairie View,97.4,106.5,-9.08
2003,Charleston So,94.2,103.3,-9.1
2003,SE Missouri St,102.1,111.3,-9.22
2003,TAM C. Christi,99.0,108.3,-9.28
2003,Youngstown St,93.1,102.4,-9.31
2003,ULM,94.4,104.0,-9.61
2003,Hofstra,95.0,104.7,-9.69
2003,St Francis PA,94.3,104.1,-9.84
2003,Alabama St,90.9,100.9,-9.95
2003,Fordham,97.2,107.4,-10.22
2003,Buffalo,95.4,105.8,-10.33
2003,TX Southern,98.3,108.7,-10.45
2003,Coastal Car,98.4,108.8,-10.47
2003,SE Louisiana,95.7,106.2,-10.54
2003,Jacksonville,93.4,104.0,-10.57
2003,Delaware St,98.1,108.7,-10.69
2003,Southern Utah,101.2,111.9,-10.77
2003,Indiana St,90.9,101.7,-10.79
2003,Jackson St,94.0,104.9,-10.84
2003,UC Riverside,98.8,109.8,-10.94
2003,E Kentucky,99.5,110.4,-10.97
2003,Florida A&M,98.1,109.1,-10.99
2003,Stony Brook,95.5,106.6,-11.06
2003,IPFW,95.8,106.9,-11.14
2003,William & Mary,100.7,111.9,-11.16
2003,Missouri KC,101.8,113.1,-11.32
2003,Portland St,87.2,98.7,-11.46
2003,Howard,97.6,109.2,-11.57
2003,Gardner Webb,90.7,102.3,-11.64
2003,Alcorn St,92.5,104.3,-11.79
2003,F Dickinson,97.2,109.0,-11.82
2003,San Jose St,96.1,107.9,-11.83
2003,W Carolina,98.8,110.7,-11.94
2003,UT San Antonio,93.8,105.8,-12.02
2003,UNC Asheville,101.2,113.5,-12.35
2003,Dartmouth,95.6,108.1,-12.45
2003,Robert Morris,103.6,116.3,-12.74
2003,Long Island,97.8,110.7,-12.85
2003,Coppin St,94.2,107.4,-13.18
2003,FL Atlantic,92.1,105.4,-13.37
2003,VMI,91.5,105.6,-14.1
2003,Navy,90.5,104.7,-14.11
2003,Citadel,89.8,104.0,-14.22
2003,Elon,93.0,107.3,-14.35
2003,Cornell,92.5,107.6,-15.11
2003,Norfolk St,88.1,103.4,-15.22
2003,Long Beach St,96.9,112.3,-15.41
2003,UTEP,93.4,109.0,-15.62
2003,Liberty,89.0,104.6,-15.63
2003,Grambling,95.7,111.8,-16.05
2003,Mt St Mary's,90.5,106.7,-16.16
2003,Lipscomb,98.8,115.1,-16.28
2003,Stetson,95.5,111.8,-16.3
2003,UTRGV,89.5,105.9,-16.39
2003,Sacred Heart,93.9,110.7,-16.77
2003,UMBC,90.0,106.8,-16.78
2003,Northwestern LA,85.2,102.1,-16.93
2003,W Illinois,93.5,110.7,-17.26
2003,High Point,95.6,113.4,-17.75
2003,Chicago St,93.2,111.4,-18.22
2003,Alabama A&M,90.0,108.2,-18.25
2003,New Hampshire,94.0,112.5,-18.5
2003,Albany NY,94.8,113.3,-18.51
2003,Southern Univ,90.1,109.0,-18.97
2003,Radford,88.6,108.2,-19.59
2003,Bethune-Cookman,89.4,111.8,-22.4
2003,Loyola MD,87.7,110.4,-22.7
2003,Columbia,82.7,105.7,-22.93
2003,Towson,84.6,108.4,-23.81
2003,Campbell,92.2,116.7,-24.53
2003,MD E Shore,91.4,116.1,-24.66
2003,Morgan St,92.1,117.4,-25.36
2003,Nicholls St,87.5,113.0,-25.55
2003,Ark Pine Bluff,77.2,102.9,-25.62
2003,Army,85.6,111.3,-25.67
2003,Savannah St,78.2,105.2,-26.95
2003,Morris Brown,86.9,114.4,-27.55
2003,Tennessee St,91.0,118.8,-27.8
2003,NC A&T,84.1,119.4,-35.37
2004,Duke,120.8,88.5,32.33
2004,Connecticut,117.8,89.5,28.3
2004,St Joseph's PA,118.9,91.2,27.66
2004,Oklahoma St,118.5,91.1,27.37
2004,Pittsburgh,114.1,88.2,25.91
2004,Wisconsin,116.0,90.3,25.74
2004,Gonzaga,120.8,95.5,25.34
2004,Georgia Tech,113.5,88.8,24.69
2004,NC State,119.1,95.1,23.98
2004,Kentucky,113.5,90.1,23.35
2004,North Carolina,117.4,94.1,23.23
2004,Stanford,111.9,89.3,22.52
2004,Illinois,117.8,95.7,22.11
2004,Mississippi St,114.7,92.9,21.74
2004,Wake Forest,121.6,99.9,21.69
2004,Cincinnati,116.1,94.5,21.56
2004,Texas,115.6,94.1,21.54
2004,Kansas,112.3,91.4,20.89
2004,Louisville,107.1,86.6,20.44
2004,Nevada,112.3,92.0,20.27
2004,Xavier,113.8,93.6,20.16
2004,Maryland,110.9,91.1,19.81
2004,Vanderbilt,113.6,95.0,18.64
2004,Providence,112.3,93.9,18.32
2004,Florida,116.9,98.6,18.26
2004,Florida St,109.0,91.5,17.48
2004,Seton Hall,112.3,95.0,17.35
2004,Texas Tech,111.4,94.3,17.11
2004,Alabama,114.7,98.2,16.5
2004,Syracuse,113.1,96.7,16.34
2004,W Michigan,114.3,98.0,16.29
2004,Arizona,118.5,102.3,16.18
2004,Memphis,111.8,95.6,16.17
2004,Michigan St,117.2,101.5,15.66
2004,BYU,113.0,97.4,15.64
2004,Air Force,111.4,96.0,15.42
2004,Boston College,110.5,95.1,15.42
2004,Richmond,105.9,90.9,15.07
2004,South Carolina,109.7,94.7,15.02
2004,Nebraska,113.6,98.7,14.86
2004,UTEP,112.5,97.8,14.69
2004,S Illinois,109.1,94.8,14.33
2004,Charlotte,112.7,98.5,14.25
2004,Michigan,107.4,93.3,14.14
2004,Utah,110.1,96.0,14.13
2004,UAB,108.1,94.5,13.63
2004,Utah St,115.9,102.3,13.6
2004,Manhattan,109.1,95.7,13.38
2004,Boise St,109.6,96.5,13.13
2004,G Washington,112.6,99.5,13.08
2004,Missouri,113.5,100.4,13.08
2004,Notre Dame,113.4,100.4,13.03
2004,Villanova,110.8,98.3,12.43
2004,Colorado,111.3,99.5,11.77
2004,Wichita St,109.9,98.3,11.64
2004,Oklahoma,104.5,92.9,11.61
2004,Purdue,104.6,93.0,11.6
2004,DePaul,113.0,101.6,11.36
2004,St Mary's CA,110.5,99.6,10.92
2004,Washington,113.1,102.3,10.78
2004,Murray St,110.5,99.9,10.62
2004,WI Milwaukee,112.2,101.7,10.52
2004,IL Chicago,107.5,97.1,10.39
2004,Iowa St,109.2,98.8,10.37
2004,Creighton,108.2,97.8,10.36
2004,Virginia,109.3,99.1,10.27
2004,ULL,109.2,99.0,10.23
2004,Auburn,106.3,96.1,10.16
2004,Iowa,106.7,96.6,10.1
2004,LSU,107.0,96.9,10.04
2004,Rice,109.0,99.2,9.83
2004,Rutgers,106.0,96.2,9.83
2004,Penn,109.0,99.2,9.8
2004,Dayton,108.1,98.4,9.75
2004,Kent,106.9,97.2,9.68
2004,Georgia,108.1,98.5,9.54
2004,UNLV,110.3,100.9,9.35
2004,Hawaii,109.8,100.6,9.27
2004,Oregon,110.9,101.7,9.21
2004,Detroit,106.4,97.2,9.19
2004,VA Commonwealth,105.6,96.5,9.09
2004,Pacific,108.6,99.7,8.93
2004,Kansas St,104.6,95.7,8.89
2004,Northern Iowa,107.4,98.6,8.78
2004,ETSU,104.4,95.8,8.6
2004,Rhode Island,105.2,96.7,8.48
2004,St Louis,103.5,95.3,8.21
2004,Troy,113.5,105.7,7.82
2004,Tennessee,108.5,101.2,7.3
2004,Temple,109.8,102.5,7.23
2004,Fresno St,106.7,99.6,7.09
2004,Marquette,111.7,104.6,7.03
2004,West Virginia,107.0,100.2,6.81
2004,Indiana,105.3,98.4,6.81
2004,Missouri St,105.6,99.1,6.48
2004,George Mason,103.0,96.8,6.24
2004,Arkansas,104.6,98.6,6.03
2004,UCF,103.3,97.4,5.91
2004,Drexel,106.7,100.9,5.78
2004,Northwestern,106.7,101.1,5.65
2004,Old Dominion,104.6,99.0,5.57
